,0.5,1.0,2.0,5.0
0,0.1252,0.4535,1.7133,8.1765
1,0.1032,0.3988,1.5197,7.6118
2,0.0954,0.3597,1.362,7.0167
3,0.0744,0.3034,1.1732,6.3328
4,0.0749,0.2655,0.9824,5.4987
5,0.0481,0.2101,0.802,4.5509
6,0.0282,0.1596,0.6086,3.5271
7,0.0264,0.1132,0.4094,2.4212
8,0.0776,0.0522,0.2171,1.2494
9,0.0905,0.0024,0.0176,0.0242
10,0.0177,0.0476,0.2096,1.2573
11,0.025,0.1003,0.3992,2.5267
12,0.0417,0.1543,0.622,3.7998
13,0.0543,0.2037,0.8308,5.0386
14,0.0618,0.2728,1.035,6.2579
15,0.0861,0.3009,1.2723,7.3937
16,0.0953,0.3745,1.4662,8.4847
17,0.1081,0.4141,1.6746,9.4227
18,0.1261,0.4627,1.8729,10.2386
19,0.1399,0.5423,2.0831,10.9195
