,0.5,1.0,2.0,5.0
0,0.0422,0.1642,0.7389,5.4977
1,0.0372,0.1533,0.6621,4.8156
2,0.0365,0.1335,0.5677,4.0631
3,0.0293,0.1196,0.4733,3.5198
4,0.0315,0.0894,0.3997,2.8469
5,0.0215,0.0718,0.3065,2.2248
6,0.0178,0.0608,0.2269,1.6138
7,0.0124,0.0421,0.1461,1.057
8,0.1358,0.0267,0.0828,0.5026
9,0.215,0.0076,0.0167,0.022
10,0.0113,0.0248,0.0824,0.4906
11,0.0122,0.0396,0.1578,0.9298
12,0.023,0.0589,0.2151,1.417
13,0.0264,0.1136,0.3028,1.9339
14,0.0324,0.0955,0.3774,2.5435
15,0.0304,0.1182,0.4537,3.0691
16,0.0458,0.1282,0.5262,3.6654
17,0.0422,0.1537,0.6254,4.2543
18,0.0502,0.1883,0.7193,4.8242
19,0.0541,0.196,0.7968,5.4984
