,0.5,1.0,2.0,5.0
0,0.0025,0.0175,0.009,0.7234
1,0.009,0.0049,0.0098,0.0483
2,0.0065,0.0102,0.0073,0.0357
3,0.0071,0.0054,0.0093,0.0183
4,0.0088,0.0056,0.0083,0.0312
5,0.0092,0.0023,0.0218,0.0139
6,0.0071,0.0053,0.0137,0.0095
7,0.007,0.0076,0.007,0.029
8,0.0235,0.0085,0.0046,0.5814
9,0.013,0.0054,0.1481,0.0165
10,0.06,0.0392,0.0912,0.0321
11,0.0183,0.0062,0.0166,0.0145
12,0.0026,0.0112,0.015,0.0167
13,0.0048,0.011,0.0087,0.0221
14,0.0082,0.0124,0.0103,0.0141
15,0.0056,0.013,0.0102,0.0314
16,0.0072,0.0049,0.0097,
17,0.0086,0.021,0.0185,
18,0.0086,0.0031,0.0089,
19,0.0066,0.0096,0.004,
