,0.5,1.0,2.0,5.0
0,0.0051,0.0131,0.011,0.0044
1,0.0014,0.0149,0.0024,0.0033
2,0.0023,0.0097,0.0122,0.0088
3,0.0174,0.0109,0.0064,0.0202
4,0.0081,0.0028,0.0072,0.0081
5,0.0068,0.0161,0.0056,0.0102
6,0.0046,0.024,0.0095,0.0124
7,0.0226,0.0044,0.0076,0.0124
8,0.0107,0.4715,0.0045,0.0133
9,0.0111,0.1654,0.0071,0.0129
10,0.0077,0.0118,0.0039,0.0082
11,0.0039,0.0073,0.0054,0.0036
12,0.0013,0.0054,0.0083,0.0042
13,0.0043,0.0144,0.0091,0.0026
14,0.0033,0.0105,0.0081,0.0104
15,0.008,0.007,0.0061,0.0113
16,0.0081,0.009,0.0059,0.0152
17,0.0112,0.01,0.0054,0.0117
18,0.0142,0.0112,0.0033,0.0122
19,0.0109,0.0061,0.0106,0.0033
