,0.5,1.0,2.0,5.0
0,0.0155,0.0086,0.0158,0.0439
1,0.0072,0.0077,0.0221,0.0323
2,0.0086,0.0101,0.0137,0.0402
3,0.0123,0.0186,0.0154,0.0272
4,0.0089,0.0064,0.0114,0.0173
5,0.0099,0.0086,0.0108,0.0309
6,0.0022,0.007,0.0157,0.0255
7,0.0056,0.0061,0.0158,0.0243
8,0.0098,0.0167,0.0126,0.0239
9,0.0086,0.014,0.0216,0.0239
10,0.0057,0.0083,0.0128,0.026
11,0.0106,0.0164,0.0158,0.0199
12,0.0056,0.012,0.022,0.026
13,0.0062,0.0062,0.0155,0.0337
14,0.0093,0.0089,0.0067,0.0266
15,0.0079,0.0061,0.021,0.0344
16,0.0082,0.0092,0.0083,0.0297
17,0.0037,0.0083,0.0108,0.0252
18,0.0121,0.0025,0.0133,0.0384
19,0.0099,0.0107,0.0194,0.0298
