,r,p,y,ar,ap,ay,e,ae,Q,R
0,-1.1565,-1.1264,-0.8294,-1.0,-1.0,-1.0,0.1511666666666667,0.4535000000000001,,
1,-1.1388,-1.1104,-0.8504,-1.0,-1.0,-1.0,0.13293333333333335,0.39880000000000004,,
2,-1.1218,-1.1064,-0.8685,-1.0,-1.0,-1.0,0.11989999999999996,0.3596999999999999,,
3,-1.1033,-1.0909,-0.8908,-1.0,-1.0,-1.0,0.1011333333333333,0.3033999999999999,,
4,-1.0865,-1.085,-0.906,-1.0,-1.0,-1.0,0.08849999999999998,0.26549999999999996,,
5,-1.0692,-1.0625,-0.9216,-1.0,-1.0,-1.0,0.07003333333333332,0.21009999999999995,,
6,-1.0538,-1.0508,-0.945,-1.0,-1.0,-1.0,0.053200000000000025,0.15960000000000008,,
7,-1.0347,-1.0383,-0.9598,-1.0,-1.0,-1.0,0.03773333333333332,0.11319999999999997,,
8,-1.0178,-1.0158,-0.9814,-1.0,-1.0,-1.0,0.01740000000000001,0.052200000000000024,,
9,-1.0003,-1.0008,-0.9987,-1.0,-1.0,-1.0,0.0007999999999999489,0.0023999999999998467,,
10,-0.9816,-0.9826,-1.0118,-1.0,-1.0,-1.0,0.015866666666666657,0.047599999999999976,,
11,-0.9658,-0.9656,-1.0317,-1.0,-1.0,-1.0,0.03343333333333335,0.10030000000000006,,
12,-0.9482,-0.9421,-1.0446,-1.0,-1.0,-1.0,0.051433333333333296,0.15429999999999988,,
13,-0.93,-0.9272,-1.0609,-1.0,-1.0,-1.0,0.06789999999999996,0.20369999999999988,,
14,-0.913,-0.896,-1.0818,-1.0,-1.0,-1.0,0.09093333333333335,0.27280000000000004,,
15,-0.8966,-0.8941,-1.0916,-1.0,-1.0,-1.0,0.10029999999999999,0.30089999999999995,,
16,-0.8778,-0.8534,-1.1057,-1.0,-1.0,-1.0,0.12483333333333328,0.37449999999999983,,
17,-0.8592,-0.8506,-1.1239,-1.0,-1.0,-1.0,0.1380333333333333,0.4140999999999999,,
18,-0.8438,-0.8215,-1.128,-1.0,-1.0,-1.0,0.1542333333333333,0.4626999999999999,,
19,-0.8279,-0.7854,-1.1556,-1.0,-1.0,-1.0,0.18076666666666666,0.5423,,
