,r,p,y,ar,ap,ay,e,ae,Q,R
0,-0.1554,-0.9912,-1.0,0.0,-1.0,-1.0,0.05473333333333335,0.16420000000000004,,
1,-0.1396,-0.9884,-0.9979,0.0,-1.0,-1.0,0.05110000000000001,0.15330000000000005,,
2,-0.1224,-0.9891,-0.9998,0.0,-1.0,-1.0,0.044500000000000005,0.1335,,
3,-0.1033,-0.9889,-0.9948,0.0,-1.0,-1.0,0.03986666666666666,0.11959999999999998,,
4,-0.0872,-0.9996,-0.9982,0.0,-1.0,-1.0,0.029799999999999993,0.08939999999999998,,
5,-0.0692,-1.0004,-0.9978,0.0,-1.0,-1.0,0.02393333333333331,0.07179999999999993,,
6,-0.0528,-1.0004,-0.9924,0.0,-1.0,-1.0,0.02026666666666667,0.06080000000000001,,
7,-0.0345,-0.996,-0.9964,0.0,-1.0,-1.0,0.01403333333333335,0.042100000000000054,,
8,-0.0173,-1.009,-0.9996,0.0,-1.0,-1.0,0.008899999999999951,0.026699999999999852,,
9,-0.0008,-0.9982,-0.995,0.0,-1.0,-1.0,0.0025333333333333427,0.007600000000000029,,
10,0.0178,-0.9972,-0.9958,0.0,-1.0,-1.0,0.008266666666666669,0.024800000000000006,,
11,0.034,-1.005,-0.9994,0.0,-1.0,-1.0,0.01319999999999998,0.03959999999999994,,
12,0.0527,-0.9966,-0.9972,0.0,-1.0,-1.0,0.019633333333333326,0.05889999999999998,,
13,0.066,-0.9674,-0.985,0.0,-1.0,-1.0,0.03786666666666666,0.11359999999999998,,
14,0.0878,-1.0059,-1.0018,0.0,-1.0,-1.0,0.031833333333333345,0.09550000000000004,,
15,0.1042,-0.9861,-1.0001,0.0,-1.0,-1.0,0.039400000000000004,0.11820000000000001,,
16,0.1212,-1.0038,-0.9968,0.0,-1.0,-1.0,0.04273333333333334,0.1282,,
17,0.1402,-0.991,-0.9955,0.0,-1.0,-1.0,0.05123333333333332,0.15369999999999995,,
18,0.1547,-0.98,-0.9864,0.0,-1.0,-1.0,0.06276666666666665,0.18829999999999997,,
19,0.1734,-0.9822,-0.9952,0.0,-1.0,-1.0,0.06533333333333335,0.19600000000000006,,
