,r,p,y,ar,ap,ay,e,ae,Q,R
0,-0.0239,-4.3147,0.0142,0.0,-5.0,0.0,0.24113333333333328,0.7233999999999998,,
1,-0.0084,-4.9731,0.013,0.0,-5.0,0.0,0.01610000000000012,0.048300000000000363,,
2,0.0024,-5.0144,-0.0189,0.0,-5.0,0.0,0.011900000000000063,0.03570000000000019,,
3,-0.0011,-5.014,-0.0032,0.0,-5.0,0.0,0.0061000000000000784,0.018300000000000236,,
4,-0.0076,-4.9824,0.006,0.0,-5.0,0.0,0.010399999999999946,0.03119999999999984,,
5,-0.0038,-5.009,-0.0011,0.0,-5.0,0.0,0.004633333333333447,0.013900000000000341,,
6,-0.0059,-4.9982,-0.0018,0.0,-5.0,0.0,0.0031666666666667486,0.009500000000000246,,
7,-0.0046,-5.0194,-0.005,0.0,-5.0,0.0,0.009666666666666695,0.029000000000000085,,
8,-0.0039,-4.4262,-0.0037,0.0,-5.0,0.0,0.1938000000000001,0.5814000000000004,,
9,-0.0048,-4.9906,0.0023,0.0,-5.0,0.0,0.0055000000000000986,0.016500000000000296,,
10,-0.0039,-5.022,-0.0062,0.0,-5.0,0.0,0.01070000000000008,0.03210000000000024,,
11,-0.0042,-4.9948,-0.0051,0.0,-5.0,0.0,0.0048333333333334385,0.014500000000000315,,
12,-0.006,-5.0002,-0.0105,0.0,-5.0,0.0,0.005566666666666807,0.016700000000000423,,
13,-0.0049,-4.9923,0.0095,0.0,-5.0,0.0,0.007366666666666606,0.022099999999999818,,
14,-0.0029,-4.9922,-0.0034,0.0,-5.0,0.0,0.004699999999999861,0.014099999999999585,,
15,0.0,-5.0166,-0.0148,0.0,-5.0,0.0,0.010466666666666798,0.03140000000000039,,
