,r,p,y,ar,ap,ay,e,ae,Q,R
0,-0.5008,-0.0036,0.0007,-0.5,0.0,0.0,0.0017000000000000077,0.005100000000000023,,
1,-0.5003,-0.0004,0.0007,-0.5,0.0,0.0,0.0004666666666666556,0.0013999999999999668,,
2,-0.5006,-0.0017,0.0,-0.5,0.0,0.0,0.0007666666666666817,0.002300000000000045,,
3,-0.499,0.0107,0.0057,-0.5,0.0,0.0,0.0058,0.0174,,
4,-0.4994,0.0074,-0.0001,-0.5,0.0,0.0,0.0026999999999999962,0.00809999999999999,,
5,-0.499,-0.0008,0.005,-0.5,0.0,0.0,0.002266666666666667,0.0068000000000000005,,
6,-0.5003,0.0012,0.0031,-0.5,0.0,0.0,0.0015333333333333223,0.004599999999999967,,
7,-0.4979,-0.0146,0.0059,-0.5,0.0,0.0,0.00753333333333333,0.02259999999999999,,
8,-0.4996,-0.009,0.0013,-0.5,0.0,0.0,0.0035666666666666707,0.010700000000000012,,
9,-0.4986,0.0028,0.0069,-0.5,0.0,0.0,0.003700000000000004,0.011100000000000013,,
10,-0.4996,0.0052,-0.0021,-0.5,0.0,0.0,0.0025666666666666702,0.007700000000000011,,
11,-0.4995,0.0006,0.0028,-0.5,0.0,0.0,0.0013000000000000002,0.0039000000000000003,,
12,-0.4992,0.0,-0.0005,-0.5,0.0,0.0,0.00043333333333334096,0.001300000000000023,,
13,-0.5,-0.0032,-0.0011,-0.5,0.0,0.0,0.0014333333333333333,0.0043,,
14,-0.4997,-0.0025,0.0005,-0.5,0.0,0.0,0.0011000000000000074,0.0033000000000000225,,
15,-0.4994,-0.0049,-0.0025,-0.5,0.0,0.0,0.002666666666666663,0.00799999999999999,,
16,-0.4996,0.0051,-0.0026,-0.5,0.0,0.0,0.002700000000000004,0.008100000000000012,,
17,-0.4986,-0.0058,-0.004,-0.5,0.0,0.0,0.003733333333333337,0.011200000000000012,,
18,-0.501,0.009,0.0042,-0.5,0.0,0.0,0.004733333333333333,0.0142,,
19,-0.4992,-0.0088,0.0013,-0.5,0.0,0.0,0.0036333333333333413,0.010900000000000024,,
