,r,p,y,ar,ap,ay,e,ae,Q,R
0,0.0023,0.004,-0.9977,0.0,0.0,-1.0,0.0028666666666666563,0.008599999999999969,,
1,0.002,0.0021,-0.9964,0.0,0.0,-1.0,0.0025666666666666824,0.007700000000000047,,
2,-0.0007,0.0044,-0.995,0.0,0.0,-1.0,0.0033666666666666684,0.010100000000000005,,
3,-0.0002,0.0126,-0.9942,0.0,0.0,-1.0,0.0062000000000000085,0.018600000000000026,,
4,-0.0006,-0.0042,-0.9984,0.0,0.0,-1.0,0.0021333333333333486,0.006400000000000045,,
5,0.0011,-0.0034,-0.9959,0.0,0.0,-1.0,0.0028666666666666645,0.008599999999999993,,
6,-0.0009,0.0032,-0.9971,0.0,0.0,-1.0,0.002333333333333338,0.007000000000000014,,
7,0.0014,-0.0016,-0.9969,0.0,0.0,-1.0,0.0020333333333333306,0.006099999999999992,,
8,0.0012,-0.0086,-0.9931,0.0,0.0,-1.0,0.005566666666666672,0.016700000000000017,,
9,0.0008,0.0068,-0.9936,0.0,0.0,-1.0,0.004666666666666653,0.01399999999999996,,
10,0.0022,-0.0006,-0.9945,0.0,0.0,-1.0,0.00276666666666665,0.00829999999999995,,
11,-0.0002,0.0124,-0.9962,0.0,0.0,-1.0,0.005466666666666675,0.016400000000000026,,
12,0.0023,-0.0041,-0.9944,0.0,0.0,-1.0,0.0040000000000000166,0.012000000000000049,,
13,-0.001,0.001,-0.9958,0.0,0.0,-1.0,0.0020666666666666607,0.006199999999999982,,
14,0.0016,-0.0006,-0.9933,0.0,0.0,-1.0,0.00296666666666668,0.00890000000000004,,
15,0.0013,0.0,-0.9952,0.0,0.0,-1.0,0.0020333333333333423,0.006100000000000026,,
16,0.0009,-0.006,-0.9977,0.0,0.0,-1.0,0.0030666666666666564,0.009199999999999969,,
17,-0.0001,0.0049,-0.9967,0.0,0.0,-1.0,0.002766666666666657,0.00829999999999997,,
18,0.0016,-0.0009,-1.0,0.0,0.0,-1.0,0.0008333333333333334,0.0025,,
19,0.0009,-0.004,-0.9942,0.0,0.0,-1.0,0.003566666666666676,0.010700000000000027,,
